Date,Open,High,Low,Close,Adj. Close,Volume
2018-03-15,178.5,180.24,178.07,178.65,175.97,22743800
2018-03-16,178.65,179.12,177.62,178.02,175.35,39404700
2018-03-19,177.32,177.47,173.66,175.3,172.67,33446800
2018-03-20,175.24,176.8,174.94,175.24,172.61,19649400
2018-03-21,175.04,175.09,171.26,171.27,168.7,36338100
2018-03-22,170.0,172.68,168.6,168.85,166.32,41490800
2018-03-23,168.39,169.92,164.94,164.94,162.47,41028800
2018-03-26,168.07,173.1,166.44,172.77,170.18,37541200
2018-03-27,173.68,175.15,166.92,168.34,165.82,40922600
2018-03-28,167.25,170.02,165.19,166.48,163.98,41668500
2018-03-29,167.81,171.75,166.9,167.78,165.26,38398500
2018-04-02,166.64,168.94,164.47,166.68,164.18,37586800
2018-04-03,167.64,168.75,164.88,168.39,165.86,30278000
2018-04-04,164.88,172.01,164.77,171.61,169.04,34605500
2018-04-05,172.58,174.23,172.08,172.8,170.21,26933200
2018-04-06,170.97,172.48,168.2,168.38,165.85,35005300
2018-04-09,169.88,173.09,169.85,170.05,167.5,29017700
2018-04-10,173.0,174.0,171.53,173.25,170.65,28408600
2018-04-11,172.23,173.92,171.7,172.44,169.85,22431600
2018-04-12,173.41,175.0,173.04,174.14,171.53,22889300
2018-04-13,174.78,175.84,173.85,174.73,172.11,25124300
2018-04-16,175.03,176.19,174.83,175.82,173.18,21578400
2018-04-17,176.49,178.94,176.41,178.24,175.57,26509000
2018-04-18,177.81,178.82,176.88,177.84,175.17,20754500
2018-04-19,173.76,175.39,172.66,172.8,170.21,34808800
2018-04-20,170.6,171.22,165.43,165.72,163.23,65491100
2018-04-23,166.83,166.92,164.09,165.24,162.76,36515500
2018-04-24,165.67,166.33,161.22,162.94,160.5,33692000
2018-04-25,162.62,165.42,162.41,163.65,161.2,28382100
2018-04-26,164.12,165.73,163.37,164.22,161.76,27963000
2018-04-27,164.0,164.33,160.63,162.32,159.89,35655800
2018-04-30,162.13,167.26,161.84,165.26,162.78,42427400
2018-05-01,166.41,169.2,165.27,169.1,166.56,53569400
2018-05-02,175.23,177.75,173.8,176.57,173.92,66539400
2018-05-03,175.88,177.5,174.44,176.89,174.24,34068200
2018-05-04,178.25,184.25,178.17,183.83,181.07,56201300
2018-05-07,185.18,187.67,184.75,185.16,182.38,42451400
2018-05-08,184.99,186.22,183.67,186.05,183.26,28402800
2018-05-09,186.55,187.4,185.22,187.36,184.55,23211200
2018-05-10,187.74,190.37,187.65,190.04,187.19,27989300
2018-05-11,189.49,190.06,187.45,188.59,186.48,26212200
2018-05-14,189.01,189.53,187.86,188.15,186.04,20778800
2018-05-15,186.78,187.07,185.1,186.44,184.35,23695200
2018-05-16,186.07,188.46,186.0,188.18,186.07,19183100
2018-05-17,188.0,188.91,186.36,186.99,184.9,17294000
2018-05-18,187.19,187.81,186.13,186.31,184.22,18297700
2018-05-21,188.0,189.27,186.91,187.63,185.53,18400800
2018-05-22,188.38,188.88,186.78,187.16,185.06,15240700
2018-05-23,186.35,188.5,185.76,188.36,186.25,20058400
2018-05-24,188.77,188.84,186.21,188.15,186.04,23234000
2018-05-25,188.23,189.65,187.65,188.58,186.47,17461000
2018-05-29,187.6,188.75,186.87,187.9,185.8,22514100
2018-05-30,187.72,188.0,186.78,187.5,185.4,18690500
2018-05-31,187.22,188.23,186.14,186.87,184.78,27482800
2018-06-01,187.99,190.26,187.75,190.24,188.11,23442500
2018-06-04,191.64,193.42,191.35,191.83,189.68,26266200
2018-06-05,193.07,193.94,192.36,193.31,191.14,21566000
2018-06-06,193.63,194.08,191.92,193.98,191.81,20933600
2018-06-07,194.14,194.2,192.34,193.46,191.29,21347200
2018-06-08,191.17,192.0,189.77,191.7,189.55,26656800
2018-06-11,191.35,191.97,190.21,191.23,189.09,18308500
2018-06-12,191.39,192.61,191.15,192.28,190.13,16911100
2018-06-13,192.42,192.88,190.44,190.7,188.56,21638400
2018-06-14,191.55,191.57,190.22,190.8,188.66,21610100
2018-06-15,190.03,190.16,188.26,188.84,186.72,61719200
2018-06-18,187.88,189.22,187.2,188.74,186.63,18484900
2018-06-19,185.14,186.33,183.45,185.69,183.61,33578500
2018-06-20,186.35,187.2,185.73,186.5,184.41,20628700
2018-06-21,187.25,188.35,184.94,185.46,183.38,25711900
2018-06-22,186.12,186.15,184.7,184.92,182.85,27200400
2018-06-25,183.4,184.92,180.73,182.17,180.13,31663100
2018-06-26,182.99,186.53,182.54,184.43,182.36,24569200
2018-06-27,185.23,187.28,184.03,184.16,182.1,25285300
2018-06-28,184.1,186.21,183.8,185.5,183.42,17365200
2018-06-29,186.29,187.19,182.91,185.11,183.04,22737700
2018-07-02,183.82,187.3,183.42,187.18,185.08,17731300
2018-07-03,187.79,187.95,183.54,183.92,181.86,13954800
2018-07-05,185.26,186.41,184.28,185.4,183.32,16604200
2018-07-06,185.42,188.43,185.2,187.97,185.86,17485200
2018-07-09,189.5,190.68,189.3,190.58,188.45,19756600
2018-07-10,190.71,191.28,190.18,190.35,188.22,15939100
2018-07-11,188.5,189.78,187.61,187.88,185.78,18831500
2018-07-12,189.53,191.41,189.31,191.03,188.89,18041100
2018-07-13,191.08,191.84,190.9,191.33,189.19,12513900
2018-07-16,191.52,192.65,190.42,190.91,188.77,15043100
2018-07-17,189.75,191.87,189.2,191.45,189.31,15534500
2018-07-18,191.78,191.8,189.93,190.4,188.27,16393400
2018-07-19,189.69,192.55,189.69,191.88,189.73,20286800
2018-07-20,191.78,192.43,190.17,191.44,189.3,20676200
2018-07-23,190.68,191.96,189.56,191.61,189.46,15989400
2018-07-24,192.45,193.66,192.05,193.0,190.84,18697900
2018-07-25,193.06,194.85,192.43,194.82,192.64,16709900
2018-07-26,194.61,195.96,193.61,194.21,192.03,19076000
2018-07-27,194.99,195.19,190.1,190.98,188.84,24024000
2018-07-30,191.9,192.2,189.07,189.91,187.78,21029500
2018-07-31,190.3,192.14,189.34,190.29,188.16,39373000
2018-08-01,199.13,201.76,197.31,201.5,199.24,67935700
2018-08-02,200.58,208.38,200.35,207.39,205.07,62404000
2018-08-03,207.03,208.74,205.48,207.99,205.66,33447400
2018-08-06,208.0,209.25,207.07,209.07,206.73,25425400
2018-08-07,209.32,209.5,206.76,207.11,204.79,25587400
2018-08-08,206.05,207.81,204.52,207.25,204.93,22525500
2018-08-09,207.28,209.78,207.2,208.88,206.54,23469200
2018-08-10,207.36,209.1,206.67,207.53,205.93,24611200
2018-08-13,207.7,210.95,207.7,208.87,207.25,25869100
2018-08-14,210.16,210.56,208.26,209.75,208.13,20748000
2018-08-15,209.22,210.74,208.33,210.24,208.61,28807600
2018-08-16,211.75,213.81,211.47,213.32,211.67,28500400
2018-08-17,213.44,217.95,213.16,217.58,215.9,35427000
2018-08-20,218.1,219.18,215.11,215.46,213.79,30287700
2018-08-21,216.8,217.19,214.03,215.04,213.38,26159800
2018-08-22,214.1,216.36,213.84,215.05,213.39,19018100
2018-08-23,214.65,217.05,214.6,215.49,213.82,18883200
2018-08-24,216.6,216.9,215.11,216.16,214.49,18476400
2018-08-27,217.15,218.74,216.33,217.94,216.25,20525100
2018-08-28,219.01,220.54,218.92,219.7,218.0,22776800
2018-08-29,220.15,223.49,219.41,222.98,221.26,27254800
2018-08-30,223.25,228.26,222.4,225.03,223.29,48793800
2018-08-31,226.51,228.87,226.0,227.63,225.87,43340100
2018-09-04,228.41,229.18,226.63,228.36,226.59,27390100
2018-09-05,228.99,229.67,225.1,226.87,225.12,33333000
2018-09-06,226.23,227.35,221.3,223.1,221.37,34290000
2018-09-07,221.85,225.37,220.71,221.3,219.59,37619800
2018-09-10,220.95,221.85,216.47,218.33,216.64,39516500
2018-09-11,218.01,224.3,216.56,223.85,222.12,35749000
2018-09-12,224.94,225.0,219.84,221.07,219.36,49278700
2018-09-13,223.52,228.35,222.57,226.41,224.66,41706400
2018-09-14,225.75,226.84,222.52,223.84,222.11,31999300
2018-09-17,222.15,222.95,217.27,217.88,216.2,37195100
2018-09-18,217.79,221.85,217.12,218.24,216.55,31571700
2018-09-19,218.5,219.62,215.3,218.37,216.68,27123800
2018-09-20,220.24,222.28,219.15,220.03,218.33,26608800
2018-09-21,220.78,221.36,217.29,217.66,215.98,96246700
2018-09-24,216.82,221.26,216.63,220.79,219.08,27693400
2018-09-25,219.75,222.82,219.7,222.19,220.47,24554400
2018-09-26,221.0,223.75,219.76,220.42,218.72,23984700
2018-09-27,223.82,226.44,223.54,224.95,223.21,30181200
2018-09-28,224.79,225.84,224.02,225.74,223.99,22929400
2018-10-01,227.95,229.42,226.35,227.26,225.5,23600800
2018-10-02,227.25,230.0,226.63,229.28,227.51,24788200
2018-10-03,230.05,233.47,229.78,232.07,230.28,28654800
2018-10-04,230.78,232.35,226.73,227.99,226.23,32042000
2018-10-05,227.96,228.41,220.58,224.29,222.56,33580500
2018-10-08,222.21,224.8,220.2,223.77,222.04,29663900
2018-10-09,223.64,227.27,222.25,226.87,225.12,26891000
2018-10-10,225.46,226.35,216.05,216.36,214.69,41990600
2018-10-11,214.52,219.5,212.32,214.45,212.79,53124400
2018-10-12,220.42,222.88,216.84,222.11,220.39,40337900
2018-10-15,221.16,221.83,217.27,217.36,215.68,30791000
2018-10-16,218.93,222.99,216.76,222.15,220.43,29184000
2018-10-17,222.3,222.64,219.34,221.19,219.48,22885400
2018-10-18,217.86,219.74,213.0,216.02,214.35,32581300
2018-10-19,218.06,221.26,217.43,219.31,217.61,33078700
2018-10-22,219.79,223.36,218.94,220.65,218.94,28792100
2018-10-23,215.83,223.25,214.7,222.73,221.01,38767800
2018-10-24,222.6,224.23,214.54,215.09,213.43,40925500
2018-10-25,217.71,221.38,216.75,219.8,218.1,29855800
2018-10-26,215.9,220.19,212.67,216.3,214.63,47258400
2018-10-29,219.19,219.69,206.09,212.24,210.6,45935500
2018-10-30,211.15,215.18,209.27,213.3,211.65,36660000
2018-10-31,216.88,220.45,216.62,218.86,217.17,38358900
2018-11-01,219.05,222.36,216.81,222.22,220.5,58323200
2018-11-02,209.55,213.65,205.43,207.48,205.88,91328700
2018-11-05,204.3,204.39,198.17,201.59,200.03,66163700
2018-11-06,201.92,204.72,201.69,203.77,202.19,31882900
2018-11-07,205.97,210.06,204.13,209.95,208.33,33424400
2018-11-08,209.98,210.12,206.75,208.49,207.6,25362600
2018-11-09,205.55,206.01,202.25,204.47,203.6,34365800
2018-11-12,199.0,199.85,193.79,194.17,193.34,51135500
2018-11-13,191.63,197.18,191.45,192.23,191.41,46882900
2018-11-14,193.9,194.48,185.93,186.8,186.0,60801000
2018-11-15,188.39,191.97,186.9,191.41,190.59,46478800
2018-11-16,190.5,194.97,189.46,193.53,192.7,36928300
2018-11-19,190.0,190.7,184.99,185.86,185.07,41925300
2018-11-20,178.37,181.47,175.51,176.98,176.22,67825200
2018-11-21,179.73,180.27,176.55,176.78,176.03,31124200
2018-11-23,174.94,176.6,172.1,172.29,171.55,23624000
2018-11-26,174.24,174.95,170.26,174.62,173.87,44998500
2018-11-27,171.51,174.77,170.88,174.24,173.5,41387400
2018-11-28,176.73,181.29,174.93,180.94,180.17,46062500
2018-11-29,182.66,182.8,177.7,179.55,178.78,41770000
2018-11-30,180.29,180.33,177.03,178.58,177.82,39531500
2018-12-03,184.46,184.94,181.21,184.82,184.03,40802500
2018-12-04,180.95,182.39,176.27,176.69,175.94,41344300
2018-12-06,171.76,174.78,170.42,174.72,173.97,43098400
2018-12-07,173.49,174.49,168.3,168.49,167.77,42281600
2018-12-10,165.0,170.09,163.33,169.6,168.88,62026000
2018-12-11,171.66,171.79,167.0,168.63,167.91,47281700
2018-12-12,170.4,171.92,169.02,169.1,168.38,35627700
2018-12-13,170.49,172.57,169.55,170.95,170.22,31898600
2018-12-14,169.0,169.08,165.28,165.48,164.77,40703700
2018-12-17,165.45,168.35,162.73,163.94,163.24,44287900
2018-12-18,165.38,167.53,164.39,166.07,165.36,33841500
2018-12-19,166.0,167.45,159.09,160.89,160.2,49047300
2018-12-20,160.4,162.11,155.3,156.83,156.16,64773000
2018-12-21,156.86,158.16,149.63,150.73,150.09,95744600
2018-12-24,148.15,151.55,146.59,146.83,146.2,37169200
2018-12-26,148.3,157.23,146.72,157.17,156.5,58582500
2018-12-27,155.84,156.77,150.07,156.15,155.48,53117100
2018-12-28,157.5,158.52,154.55,156.23,155.56,42291400
2018-12-31,158.53,159.36,156.48,157.74,157.07,35003500
